title,company,location,job_type,date_posted
Superviseur Contrôle Qualité,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Mbour, Sindia",CDD,Publié le 25 avril 2025
Superviseur Entrepôt Bilingue,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Mbour, Sindia",CDD,Publié le 25 avril 2025
Agent de Sécurité,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Mbour, Sindia",CDD,Publié le 25 avril 2025
Agent d’Inventaire de Stock Bilingue,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Sindia, Mbour, Sénégal",CDD,Publié le 25 avril 2025
Opérateur de Saisie Bilingue,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Cambérène, Dakar",CDD,Publié le 25 avril 2025
Gestionnaire de stock,"La Laiterie du BergerGueum Gueum, Royukaay, Performer","Richard Toll, Sénégal",CDI,Publié le 25 avril 2025
Responsable Maintenance,"La Laiterie du BergerGueum Gueum, Royukaay, Performer","Richard Toll, Sénégal",CDI,Publié le 25 avril 2025
Commerciaux Sédentaires Experts en Prise de RDV B to B,SENEGAL LEADS,"Dakar, Sénégal",Freelance,Publié le 24 avril 2025
Directeur(trice) Adjoint(e) Mali du MeLiTeJi WASU,"La Laiterie du BergerGueum Gueum, Royukaay, Performer",Mali,Prestation de Services,Publié le 23 avril 2025
Téléconseillers en prise de rendez-vous B to B – Dakar,SENEGAL LEADS,"Point E, Dakar, Sénégal",Freelance,Publié le 22 avril 2025
