title,company,location,job_type,date_posted
Programme Manager,IOM,"Dakar, Sénégal",CDD,Publié le 16 mai 2025
Télévendeurs expérimentés,Société de la place,"Dakar, Sénégal",CDD,Publié le 16 mai 2025
"Business Developer H/F (Zones Nord, Centre et Sud)",Hygrospec,Sénégal,CDD,Publié le 15 mai 2025
Caissière,SENJABA,"Cité Gadaye, Guédiawaye",Prestation de Services,Publié le 15 mai 2025
Commercial(e) Séminaire expérimenté(e),Hôtel le Ndiambour,"Dakar, Sénégal",CDD,Publié le 15 mai 2025
Communications Officer – PINGS,Nutrition International,"Dakar, Sénégal",CDD,Publié le 15 mai 2025
Chauffeur Livreur,"MG TransportVotre succès en relation client, notre mission","Ouest Foire Marché serigne fallou, Dakar, Sénégal",CDD,Publié le 15 mai 2025
Monitoring and reporting Analyst,UN Women,"Dakar, Sénégal",CDD,Publié le 15 mai 2025
Roster Evaluation Consultant,UN Women,"Dakar, Sénégal",CDD,Publié le 15 mai 2025
Experte Mobilisation de Ressources pour le Développement Chaines de Valeurs agricoles en Afrique de l’Ouest,UN Women,"Dakar, Sénégal",CDD,Publié le 15 mai 2025
Vente de nems,Seck Business ServicesConstruisons ensemble votre succès,"Keur Massar, Dakar, Sénégal",Freelance,Publié le 15 mai 2025
Programme Associate,UN Women,"Dakar, Sénégal",CDD,Publié le 15 mai 2025
Chauffeur,UN Women,"Dakar, Sénégal",CDD,Publié le 15 mai 2025
Coordination Analyst,UN Women,"Dakar, Sénégal",CDD,Publié le 15 mai 2025
Camp de codage,UN Women,"Dakar, Sénégal",CDD,Publié le 15 mai 2025
Responsable Services Support,ACF International,"Dakar, Sénégal",CDD,Publié le 15 mai 2025
Manager Systems,Marriott International,"Dakar, Sénégal",CDD,Publié le 15 mai 2025
Assistante Administrative,GPF,"Dakar, Sénégal",CDD,Publié le 15 mai 2025
Chargé (e) de l’expérience client,"KaliaKalia est une société de construction, promotion et gestion immo","Dakar, Sénégal",CDD,Publié le 15 mai 2025
Superviseur de Production Bilingue,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Mbour, Sindia",CDD,Publié le 15 mai 2025
Intégrateurs Web polyvalents – Agence Digitale,SENEGAL LEADS,"Point E, Immeuble Ordre des Pharmaciens, Rue de Thies Angle rue de kaolak-Dakar",CDD,Publié le 15 mai 2025
Technicien conducteur de Process,"La Laiterie du BergerGueum Gueum, Royukaay, Performer","Sandiara, Sénégal",CDI,Publié le 15 mai 2025
Responsable Commercial Showroom,Importante Société de la Place,"Mbour, Sénégal",CDD,Publié le 15 mai 2025
Chef de Production Agricole,Malaika Holdings,"Yenne, Rufisque",CDD,Publié le 14 mai 2025
Commercial B2B (Services Informatiques),Une agence en place,"Dakar, Sénégal",Freelance,Publié le 14 mai 2025
Superviseur Food Safety,"La Laiterie du BergerGueum Gueum, Royukaay, Performer",Sandiara,CDI,Publié le 14 mai 2025
Tests Lead en Automatisation des Tests,Agiltoo,"Ouest Foire, Dakar",CDD,Publié le 14 mai 2025
Téléconseiller CPF,RESELFORM SARL,"Dakar, Sénégal",CDD,Publié le 14 mai 2025
Commercial terrain,NFD CompagniePour un éclat durable,"Cité Fadia, Dakar, Sénégal",Prestation de Services,Publié le 14 mai 2025
Responsable commercial,WANATRACK,"Bourguiba, Dakar, Sénégal",CDI,Publié le 14 mai 2025
Chef de projet,Une entreprise de la place,"Dakar, Sénégal",CDI,Publié le 14 mai 2025
Chargé(e) de projet Web,SENEGAL LEADS,"Dakar, Sénégal",CDD,Publié le 14 mai 2025
Chef d’Agence,International Staffing Company,"Dakar, Sénégal",CDD,Publié le 14 mai 2025
Commercial B2B,Une société de la place,"Dakar, Senegal",CDD,Publié le 14 mai 2025
Administrateur de programme principal,CRDI,"Dakar, Sénégal",CDD,Publié le 14 mai 2025
Spécialiste de Programme principal,CRDI,"Dakar, Sénégal",CDD,Publié le 14 mai 2025
Business Developer Freelance,Sendigital Solutions,"Dakar, Sénégal",CDD,Publié le 14 mai 2025
Superintendant Rehabilitation,Eramet,"Dakar, Sénégal",CDD,Publié le 14 mai 2025
Stage – Assistant-e Service Mobilité Et Gestion De Carriere,MSF Sénégal,"Dakar, Sénégal",Stage,Publié le 14 mai 2025
